date,open,high,low,close,volume
2025-03-28,597.888824,599.323019,571.605246,574.413879,17602800
2025-03-31,561.227342,576.366051,551.068467,574.035461,21124700
2025-04-01,568.537765,587.530800,567.701126,583.636597,12836600
2025-04-02,572.591250,590.269661,571.047514,581.574890,13470800
2025-04-03,544.017045,550.331503,528.161268,529.475952,34777500
2025-04-04,504.576728,515.910836,492.206837,502.694366,38589800
2025-04-07,483.143488,537.194594,479.956382,514.167847,36606100
2025-04-08,541.059030,545.222164,500.831911,508.391327,28034200
2025-04-09,507.216036,585.518977,500.084910,583.407532,39216600
2025-04-10,573.168976,578.955542,533.141065,544.086731,28173500
2025-04-11,533.350316,545.192378,526.458241,541.377808,17642300
2025-04-14,553.926913,555.520496,526.149441,529.336487,14130900
2025-04-15,529.963880,535.770384,515.412820,519.416626,15558700
2025-04-16,506.459095,511.299479,493.631037,500.284088,18735100
2025-04-17,503.212273,505.253993,496.001483,499.457489,14593500
2025-04-21,489.348404,491.509666,477.864907,482.705322,16166000
2025-04-22,489.886214,504.835686,484.398427,498.262299,17399400
2025-04-23,526.398388,533.180920,514.436816,518.171692,18173900
2025-04-24,516.637870,531.746731,515.412850,530.999756,13910000
2025-04-25,544.594608,547.642264,534.087171,545.062744,17098900
2025-04-28,553.399056,556.237537,538.409767,547.522827,15179000
2025-04-29,543.797955,554.325333,541.925532,552.203918,11835000
2025-04-30,536.228543,546.885339,527.364414,546.785767,29244000
2025-05-01,589.692078,590.558565,568.199096,569.902222,31159000
2025-05-02,581.106933,601.902729,575.997618,594.612244,24739300
2025-05-05,588.835567,600.777262,585.678368,596.853149,13887700
2025-05-06,590.140324,593.626209,584.214309,584.941345,10600700
2025-05-07,587.979016,600.647747,584.303896,594.403015,13139100
2025-05-08,603.844780,608.834584,594.213797,595.598206,14622800
2025-05-09,601.285091,604.521984,589.323580,590.100403,10427300
2025-05-12,628.375326,637.807163,618.525261,636.851013,21965100
2025-05-13,642.936412,658.254387,640.237381,653.384155,18570800
2025-05-14,658.543259,659.997331,651.671063,656.700684,12348200
2025-05-15,651.641222,654.658970,636.004530,641.283142,14341800
2025-05-16,635.387040,637.857019,623.624674,637.757446,18519000
2025-05-19,625.716237,640.406749,625.268039,637.847107,9592400
2025-05-20,633.444887,636.771382,629.710011,634.530457,6743500
2025-05-21,629.241892,644.002128,627.628430,632.936951,11464600
2025-05-22,631.492769,640.655676,628.166273,634.002625,8228400
2025-05-23,621.483350,629.899282,620.138819,624.531006,8454100
2025-05-27,632.847206,640.486315,630.197961,639.729370,9508400
